geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240317050004,645.3887706,23119,35.82181943,614,0.951364554,37.65309446,22505
240317048041,85.25696466,16444,192.8757383,864,10.13406944,19.03240741,15580
240317048051,63.85222123,6712,105.1177214,565,8.848556701,11.87964602,6147
240317048062,45.39000608,4912,108.2176546,685,15.09142781,7.17080292,4227
240317048031,28.62738024,3539,123.6229082,394,13.76304771,8.982233503,3145
240317048033,50.41488957,2223,44.09411622,619,12.27811873,3.591276252,1604
240317048061,60.69100488,2215,36.49634743,1215,20.01944114,1.823045267,1000
240317046001,88.07248089,1629,18.49612937,365,4.144313823,4.463013699,1264
240317050001,382.8415117,1198,3.129232237,634,1.656037761,1.889589905,564
240317048052,12.54997702,1038,82.7093148,410,32.66938253,2.531707317,628
