geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
110010062021,1616.010685,57676,35.69035808,121,0.074875743,476.661157,57555
110010058001,168.4231725,57136,339.24073,659,3.91276325,86.70106222,56477
110010106002,255.8551568,25508,99.69703294,2663,10.40823266,9.578670672,22845
110010101001,97.51782864,24968,256.0352332,1197,12.27467856,20.8588137,23771
110010101002,45.8360309,23110,504.1885073,379,8.268604252,60.9762533,22731
110010058002,57.56339483,20576,357.4493836,1143,19.85636885,18.00174978,19433
110010059001,158.656341,17589,110.8622567,1514,9.542637822,11.61756935,16075
110010047021,80.64301706,4567,56.63230577,1642,20.36134138,2.78136419,2925
110010048011,78.38719402,2283,29.12465523,1695,21.62342996,1.346902655,588
110010049022,48.96067568,1728,35.29363057,1297,26.49064748,1.33230532,431
110010049012,46.34111385,1627,35.1092122,901,19.44277824,1.805771365,726
110010052012,33.38366042,1442,43.19478397,850,25.46155782,1.696470588,592
110010083012,40.53710778,1307,32.24206342,667,16.45405991,1.95952024,640
110010050022,22.63878661,1299,57.37940032,1145,50.5769156,1.134497817,154
110010047012,57.08771739,1164,20.38967493,1676,29.35832919,0.69451074,-512
110010052014,27.4766115,1074,39.08778927,1108,40.32520532,0.969314079,-34
