geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
245100401001,201.005718,53067,264.0074149,859,4.273510269,61.77764843,52208
245100401002,93.29702535,12362,132.501545,1114,11.94035925,11.09694794,11248
245100604001,60.00009884,11368,189.4663545,264,4.399992752,43.06060606,11104
245100402001,107.6632253,10740,99.75551047,326,3.02796056,32.94478528,10414
245100704002,29.30123602,9168,312.8878247,100,3.412825313,91.68,9068
245100302002,57.76083185,6262,108.4125661,648,11.21867499,9.663580247,5614
245100203002,88.24150082,4900,55.52942725,656,7.43414373,7.469512195,4244
245101702003,27.53393989,4800,174.3302999,178,6.464748622,26.96629213,4622
245102101001,256.4697074,4666,18.19318175,322,1.255508899,14.49068323,4344
245102401001,258.2886485,4467,17.29460441,1089,4.216213165,4.101928375,3378
245101102001,101.4010863,4362,43.01729065,973,9.595557955,4.483042138,3389
245102201001,89.04904049,4131,46.39016858,599,6.726630593,6.896494157,3532
245102201003,61.49854455,3711,60.34289148,29,0.471555875,127.9655172,3682
245102805002,106.7229902,2988,27.99771629,409,3.832351393,7.305623472,2579
245101003001,38.62476093,2613,67.65090417,463,11.98712921,5.64362851,2150
245101102002,31.68184716,2578,81.37151811,770,24.30413846,3.348051948,1808
245100604002,46.28724493,2284,49.34404724,377,8.144792385,6.058355438,1907
245101701001,41.03700153,1966,47.90798369,542,13.20759266,3.627306273,1424
245102201002,92.74103873,1923,20.73515702,790,8.518343236,2.434177215,1133
245101101002,44.47102198,1623,36.49567579,663,14.90858475,2.447963801,960
245102402001,74.7438755,1595,21.33954106,1065,14.24865908,1.497652582,530
245101702001,59.65934082,1571,26.33284207,523,8.766439468,3.003824092,1048
245101401001,41.37627692,1277,30.86309584,495,11.96337701,2.57979798,782
245100302001,67.0480323,1130,16.8535893,575,8.57594146,1.965217391,555
245100203003,43.61653232,1006,23.0646488,697,15.98017914,1.443328551,309
