geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
510594917032,183.1793044,9296,50.74809094,610,3.330070511,15.23934426,8686
510594917022,228.0049223,7449,32.67034731,720,3.157826562,10.34583333,6729
510594405021,518.0829087,6040,11.65836568,994,1.918611835,6.076458753,5046
510594917011,174.493558,4767,27.31906012,441,2.527313931,10.80952381,4326
510594612021,563.9149859,4611,8.176764433,769,1.363680731,5.99609883,3842
510594826023,397.3203916,3944,9.926497817,946,2.380950034,4.169133192,2998
510594612022,168.0468314,3562,21.19647226,1191,7.087310069,2.990764064,2371
516003002003,263.8672946,2911,11.03206066,609,2.307978337,4.779967159,2302
510594405023,49.6552883,2812,56.63042339,189,3.806241117,14.87830688,2623
510594917031,133.7424571,2702,20.20300852,1044,7.806047702,2.588122605,1658
510594918011,206.0402386,2547,12.36166303,807,3.916710665,3.156133829,1740
510594618023,166.2404926,2491,14.98431556,677,4.072413341,3.679468242,1814
516003001003,222.2251326,2333,10.49836251,868,3.905948845,2.687788018,1465
516003004002,205.1813011,2238,10.90742669,501,2.441742973,4.467065868,1737
510594817022,319.6567215,2229,6.973105366,936,2.92814115,2.381410256,1293
516003005003,145.0405994,2045,14.09950048,640,4.412557606,3.1953125,1405
516003002004,235.1828331,1960,8.333941615,654,2.780815212,2.996941896,1306
510594917042,172.9822628,1911,11.04737543,995,5.752034827,1.920603015,916
510594917012,96.37002516,1800,18.67800695,765,7.938152955,2.352941176,1035
516003001002,230.9350954,1487,6.43903863,699,3.02682448,2.12732475,788
516003004001,191.6493281,1463,7.633734041,833,4.346480148,1.756302521,630
510594618021,139.5751274,1329,9.521753803,1212,8.683495568,1.096534653,117
510594917021,66.00500141,1134,17.18051626,678,10.27194888,1.672566372,456
516003002002,300.6590295,1076,3.578804874,688,2.288306462,1.563953488,388
510594918021,118.1348008,1022,8.651134069,772,6.534907535,1.323834197,250
