geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240217510033,2413.065933,9659,4.002791581,377,0.15623278,25.62068966,9282
240217510031,834.8428164,6515,7.803864239,1103,1.321206793,5.906618314,5412
240217502002,101.9761,6268,61.46538258,681,6.678035344,9.204111601,5587
240217722002,1919.483995,4023,2.095875772,516,0.268822247,7.796511628,3507
240217507012,321.4996318,3417,10.62831699,1073,3.337484382,3.184529357,2344
240217523012,657.8201371,2482,3.773067834,215,0.326837061,11.54418605,2267
240217512011,828.1816025,2475,2.988474982,496,0.598902461,4.989919355,1979
240217502001,52.07617758,2111,40.53676937,373,7.162584071,5.659517426,1738
240217508023,521.051383,2108,4.04566626,922,1.76949919,2.286334056,1186
240217512012,642.9159892,1509,2.347118481,762,1.185224839,1.980314961,747
240217722001,305.7760832,1438,4.70278769,436,1.425879995,3.298165138,1002
240217506003,199.1591011,1324,6.647951274,313,1.571607816,4.230031949,1011
240217508031,461.6796726,1182,2.560216683,1059,2.293798196,1.116147309,123
240217506001,161.5647687,1140,7.05599376,526,3.255660279,2.16730038,614
240217651001,539.466154,1114,2.065004434,1067,1.977881267,1.044048735,47
240217508012,154.4093445,1081,7.000871633,766,4.960839659,1.411227154,315
