geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240317008173,645.0336804,7281,11.28778267,1267,1.964238517,5.74664562,6014
240317010072,210.5770894,6996,33.22298746,349,1.657350289,20.04584527,6647
240317008171,247.316685,6179,24.9841615,540,2.183435379,11.44259259,5639
240317007182,254.1501312,5331,20.97579086,271,1.066298879,19.67158672,5060
240317007181,388.3818566,4924,12.67824415,1723,4.436355538,2.857806152,3201
240317008291,820.7239687,4876,5.941096137,733,0.893113919,6.652114598,4143
240317010071,393.6044242,4694,11.92567896,1185,3.010636891,3.961181435,3509
240317007231,308.1510109,3784,12.27969361,627,2.034716674,6.035087719,3157
240317007191,89.98309801,3773,41.93009669,578,6.423428542,6.527681661,3195
240317012113,231.4532749,3682,15.90817845,377,1.628838478,9.766578249,3305
240317007221,435.2651191,3530,8.109999733,1183,2.717883763,2.983939138,2347
240317007173,165.5117795,3142,18.9835431,1355,8.186728486,2.318819188,1787
240317007132,252.0952047,2986,11.84473145,869,3.447110393,3.436133487,2117
240317007042,534.8235422,2168,4.053673462,543,1.015288141,3.992633517,1625
240317007061,583.3236139,2007,3.440628756,1297,2.223465619,1.547417116,710
240317007222,108.3771121,1838,16.95930039,277,2.555890211,6.635379061,1561
240317008221,180.471279,1809,10.02375564,867,4.804088523,2.08650519,942
240317012212,348.832181,1643,4.710001225,1191,3.414249215,1.379513014,452
240317008163,348.9033473,1636,4.688977657,755,2.163923063,2.166887417,881
240317008261,100.7294544,1504,14.93108454,469,4.656036336,3.206823028,1035
240317012112,236.2871461,1313,5.556798251,1300,5.501780446,1.01,13
240317008241,223.4043184,1097,4.910379566,1424,6.374093438,0.770365169,-327
