geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240430103001,3602.480442,7087,1.967255649,573,0.159057075,12.36823735,6514
240430105004,2504.41404,3959,1.580808899,556,0.222008019,7.120503597,3403
240430009002,520.6209259,3833,7.362362536,563,1.08140102,6.808170515,3270
240430009003,980.6301676,3573,3.643575446,332,0.338557808,10.76204819,3241
240430112013,1485.468734,3329,2.241043466,730,0.491427375,4.560273973,2599
240430006022,594.4739872,3215,5.40814244,443,0.74519661,7.257336343,2772
240430010011,864.5507875,2470,2.856975016,290,0.335434314,8.517241379,2180
240430006011,363.5008377,2149,5.911953364,733,2.016501543,2.931787176,1416
240430004003,81.26201549,2068,25.44854429,352,4.331667113,5.875,1716
240430103003,958.5831978,1672,1.744240879,1382,1.441711062,1.20984081,290
240430006021,785.7902176,1570,1.997988731,1068,1.359141379,1.470037453,502
240430111003,649.5688015,1210,1.862774193,546,0.840557611,2.216117216,664
240430002002,357.4823443,1172,3.278483591,634,1.773514161,1.848580442,538
240430003011,313.4988608,1081,3.448178399,549,1.751202536,1.969034608,532
240430005001,70.19343392,1002,14.27483945,595,8.476576323,1.684033613,407
