geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
245101202021,166.6474748,4979,29.87744042,137,0.822094665,36.34306569,4842
245101207001,54.73082835,3334,60.91630806,398,7.271952792,8.376884422,2936
245101202022,15.78952571,2897,183.4760622,137,8.676638079,21.1459854,2760
245101308061,347.546987,1986,5.714335253,635,1.82709108,3.127559055,1351
245101307001,31.84814894,1806,56.70659239,464,14.56913559,3.892241379,1342
245102711021,189.2084233,1594,8.424572078,687,3.630916573,2.320232897,907
245101206002,55.07455163,1476,26.80003661,449,8.152585663,3.287305122,1027
245101207003,172.252067,1184,6.873647558,399,2.316372784,2.967418546,785
245101308042,109.4001275,1157,10.57585605,619,5.658128689,1.86914378,538
245101206003,43.60145891,1082,24.8156834,375,8.600629644,2.885333333,707
245100905002,81.44759147,1000,12.27783391,545,6.691419478,1.834862385,455
