geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
110010065002,86.83868481,1369,15.76486336,828,9.534921007,1.653381643,541
110010065001,37.92644174,1522,40.13031359,514,13.55255005,2.961089494,1008
110010066001,70.9725565,2583,36.39434913,992,13.97723358,2.603830645,1591
110010070002,60.56844072,2820,46.55890042,656,10.83072293,4.298780488,2164
110010105002,103.7567398,4423,42.62855607,953,9.184945498,4.641133263,3470
110010067003,41.45856294,4607,111.1230027,763,18.40391818,6.038007864,3844
110010072002,262.8007888,7448,28.34085862,644,2.45052537,11.56521739,6804
110010102002,222.2330399,11905,53.56989223,869,3.910309647,13.69965478,11036
110010102001,85.25622334,17702,207.6329364,602,7.061068112,29.40531561,17100
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
