geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
510594822034,53.88992948,12415,230.3769947,499,9.259615012,24.87975952,11916
510594825013,406.2255675,9565,23.54603148,2198,5.410786952,4.351683348,7367
510594822022,367.5721424,8587,23.36140042,408,1.109986185,21.04656863,8179
510594812023,422.0454871,8582,20.33430107,800,1.895530279,10.7275,7782
510594819002,1174.091271,8018,6.82911133,598,0.509330079,13.40802676,7420
510594809021,515.6323668,7585,14.71009286,1493,2.895473783,5.080375084,6092
510594824001,1099.490963,6931,6.303826253,1146,1.042300517,6.047993019,5785
510594811011,205.8188324,6817,33.12136174,1384,6.724360371,4.925578035,5433
510594822032,221.338025,5691,25.71180437,440,1.987909669,12.93409091,5251
510594825012,173.2370282,5278,30.46692762,813,4.692992072,6.49200492,4465
510594823011,423.4171679,4585,10.82856423,1242,2.933277378,3.691626409,3343
510594809032,151.4423528,3672,24.24684991,1068,7.052188374,3.438202247,2604
510594822031,169.0154836,3567,21.1045753,748,4.425630031,4.768716578,2819
510594808021,183.6831519,1908,10.38745242,437,2.379096806,4.366132723,1471
510594812011,345.8493746,1903,5.502395378,816,2.359408633,2.332107843,1087
510594825015,46.82741681,1581,33.76227235,412,8.798264522,3.837378641,1169
510594808012,395.6423005,1127,2.848532623,1236,3.124034004,0.911812298,-109
510594808022,302.3435454,1033,3.416643139,1008,3.333955745,1.024801587,25
