geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240317009012,177.4093989,17825,100.4738199,699,3.940039278,25.50071531,17126
240317009011,241.6777452,11275,46.65303373,1133,4.688060951,9.951456311,10142
240317012191,556.2250733,8300,14.922017,1608,2.890916065,5.161691542,6692
240317009041,192.6029069,5660,29.38688772,614,3.187906194,9.218241042,5046
240317012163,119.4691687,4395,36.78773401,447,3.741551104,9.832214765,3948
240317012162,170.0565377,4113,24.18607398,842,4.951294502,4.8847981,3271
240317012135,55.51019803,3771,67.93346329,352,6.341177162,10.71306818,3419
240317012183,110.93811,2933,26.43816448,195,1.757736813,15.04102564,2738
240317012181,61.72785814,2881,46.67260596,1104,17.88495557,2.609601449,1777
240317010013,754.9238175,2239,2.965862181,402,0.532504063,5.569651741,1837
240317012021,337.3257291,1795,5.321266198,708,2.098861542,2.535310734,1087
240317009052,123.5641955,1672,13.53142789,858,6.943759047,1.948717949,814
240317009042,85.85743021,1099,12.80028994,393,4.577355729,2.796437659,706
