geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
510131016033,44.64498401,10122,226.7219985,365,8.175610499,27.73150685,9757
510131018011,69.09999358,7413,107.2793153,2074,30.01447457,3.574252652,5339
510131018021,28.9893893,6953,239.8463771,575,19.8348435,12.09217391,6378
510131014031,33.57022482,6840,203.7519867,906,26.98820175,7.549668874,5934
510131014011,84.0239099,6034,71.8128924,1034,12.306021,5.835589942,5000
510131014021,69.16597065,5301,76.64173509,497,7.185614476,10.66599598,4804
510131017022,44.66697637,4739,106.0962793,971,21.73865524,4.88053553,3768
510131015003,79.96644312,3765,47.08224917,796,9.954175389,4.729899497,2969
510131014032,7.39734016,2947,398.3864384,238,32.17372662,12.38235294,2709
510131014022,19.47040421,2846,146.1705658,564,28.96704115,5.046099291,2282
510131016022,28.68026075,2529,88.17911463,462,16.10864016,5.474025974,2067
510131014041,76.98264828,2473,32.12412219,2645,34.35839191,0.934971645,-172
510131017013,8.644479918,2023,234.0221759,468,54.13859532,4.322649573,1555
510131014034,26.94830066,1950,72.36077795,1397,51.84000348,1.395848246,553
510131016032,47.9757145,1750,36.47678869,1437,29.95265448,1.217814892,313
510131015004,137.9279244,1670,12.10777301,628,4.553102665,2.659235669,1042
510131017014,21.81320827,1619,74.2210857,716,32.82414908,2.261173184,903
510131019001,61.28455148,1156,18.86282876,516,8.419740172,2.240310078,640
510131014033,7.213246814,1072,148.6154609,942,130.5930636,1.138004246,130
510131020032,64.47393782,1003,15.5566735,715,11.0897523,1.402797203,288
