geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
240054907031,238.3606055,12010,50.38584281,638,2.676616795,18.82445141,11372
240054906051,419.9670856,8488,20.21110771,260,0.619096136,32.64615385,8228
240054909002,148.9290462,7523,50.51398764,833,5.59326754,9.031212485,6690
240054906052,120.3935891,3522,29.25404937,335,2.782540188,10.51343284,3187
240054909001,190.5287062,3279,17.21000507,776,4.072877077,4.225515464,2503
240054907011,322.9657067,3068,9.49946058,622,1.925901069,4.932475884,2446
240054903012,236.2757792,2615,11.06757539,910,3.851431589,2.873626374,1705
240054912011,278.3866998,2568,9.224578623,623,2.237894269,4.121990369,1945
240054903022,474.0818808,2372,5.003355109,864,1.822469989,2.74537037,1508
240054912012,139.9536925,1426,10.18908451,474,3.386834542,3.008438819,952
240054909003,33.51339063,1415,42.22192901,395,11.78633354,3.582278481,1020
240054903013,149.7259604,1338,8.93632605,794,5.303021587,1.685138539,544
240054903011,113.8781673,1253,11.00298705,722,6.34010906,1.735457064,531
