geoid,area in acres,jobs,jobs per acre,workers,workers per acre,jobs per worker,excess jobs
510594802022,489.9494917,38845,79.28368262,1008,2.057354925,38.53670635,37837
510594802031,92.12624109,6410,69.5784385,927,10.06227964,6.914778857,5483
510594802021,369.5279797,14347,38.82520618,1198,3.241973723,11.97579299,13149
510594712022,183.5141319,5433,29.60534942,1075,5.857859493,5.053953488,4358
510594604003,264.6886722,7811,29.51014086,410,1.548989598,19.05121951,7401
510594605011,551.5925928,12839,23.27623715,1177,2.133821258,10.90824129,11662
510594712023,52.00970629,1105,21.24603423,412,7.921598282,2.682038835,693
510594705004,188.6304443,3586,19.01071703,502,2.661288329,7.143426295,3084
510594712011,58.86341509,1010,17.15836566,819,13.91356582,1.233211233,191
510594712012,92.91944866,1490,16.03539433,246,2.647454366,6.056910569,1244
510594608001,300.3983335,4558,15.1731867,444,1.478037494,10.26576577,4114
510594713011,105.2630929,1229,11.67550721,844,8.018004953,1.456161137,385
510594712021,261.3987141,2218,8.485122078,745,2.850052276,2.977181208,1473
510594707001,186.2836866,1511,8.111284608,367,1.970113469,4.117166213,1144
510594711001,180.5402213,1118,6.19252592,846,4.685936429,1.321513002,272
510594607021,191.6592123,1144,5.968927797,486,2.535750795,2.353909465,658
510594706002,221.9916182,1064,4.792973756,695,3.130748835,1.530935252,369
510594605023,251.3113871,1151,4.579975517,1014,4.034835077,1.135108481,137
510594608002,297.4523458,1214,4.081326025,1051,3.533339088,1.15509039,163
510594610001,411.6403829,1478,3.590512645,1177,2.859291869,1.255734919,301
510594609001,679.9298716,1535,2.257585766,1374,2.02079664,1.117176128,161
